GUID	| Time
0	|1,773014
1	|1,674031
2	|1,691358
3	|1,708677
4	|1,641776
5	|1,748929
6	|1,650186
7	|1,674871
8	|1,699659
9	|1,708287
10	|1,724853
11	|1,599958
12	|1,708104
13	|1,683136
14	|1,699701
15	|1,659385
16	|1,682186
17	|1,674816
18	|1,931968
19	|1,675111
20	|1,633448
21	|1,716587
22	|1,666817
23	|2,694472
24	|1,59173
25	|1,683501
26	|1,77418
27	|1,716365
28	|1,691947
29	|1,632932
30	|1,666542
31	|1,742034
32	|1,690749
33	|1,692828
34	|1,673522
35	|1,675016
36	|1,732973
37	|1,64155
38	|1,6583
39	|1,69998
40	|1,765838
41	|1,775737
42	|1,649341
43	|2,206107
44	|1,642146
45	|1,774754
46	|1,640479
47	|1,67557
48	|1,699076
49	|1,766594
50	|1,691498
51	|1,733051
52	|1,683265
53	|1,750469
54	|1,716432
55	|1,74858
56	|1,707793
57	|1,708247
58	|1,732857
59	|1,691264
60	|1,700028
61	|1,666563
62	|1,691308
63	|1,733293
64	|1,70779
65	|1,62516
66	|1,674858
67	|1,692019
68	|1,707552
69	|1,608386
70	|1,674979
71	|1,658378
72	|1,674909
73	|1,716232
74	|1,592017
75	|1,674377
76	|1,700186
77	|1,699407
78	|1,691795
79	|1,625729
80	|1,666194
81	|1,624988
82	|1,741089
83	|1,583813
84	|1,666688
85	|1,658686
86	|1,633408
87	|1,657849
88	|1,616822
89	|1,616695
90	|1,666857
91	|1,683074
92	|1,649841
93	|1,625298
94	|1,690907
95	|1,658644
96	|1,68338
97	|1,683283
98	|1,517158
99	|1,675459
100	|1,739947
101	|1,758207
102	|1,716593
103	|1,740863
104	|1,675482
105	|1,699497
106	|1,724443
107	|1,666865
108	|1,708006
109	|1,732899
110	|1,716329
111	|1,733355
112	|1,62472
113	|1,724395
114	|1,684264
115	|1,765075
116	|1,724439
117	|1,741766
118	|1,771417
119	|1,801848
120	|1,691694
121	|1,741544
122	|1,699134
123	|1,799534
124	|1,757768
125	|1,913552
126	|1,909418
127	|1,724287
128	|1,674914
129	|1,658123
130	|1,69123
131	|1,668107
132	|1,715128
133	|1,69926
134	|1,675557
135	|1,690806
136	|1,700693
137	|1,67568
138	|1,706762
139	|1,625299
140	|1,708358
141	|1,707094
142	|1,725446
143	|1,625107
144	|1,658124
145	|1,724413
146	|2,297102
147	|1,675142
148	|1,666694
149	|1,657928
150	|1,750683
151	|1,731365
152	|1,683719
153	|1,650319
154	|1,73208
155	|1,717348
156	|1,870592
157	|1,702487
158	|1,63372
159	|1,67461
160	|1,683453
161	|1,683225
162	|1,989771
163	|1,724785
164	|1,740832
165	|1,717248
166	|1,62519
167	|1,723276
168	|1,683143
169	|1,717987
170	|1,723019
171	|1,708002
172	|1,725852
173	|1,740746
174	|1,715638
175	|1,700445
176	|1,674865
177	|1,798587
178	|1,916144
179	|1,765764
180	|1,700077
181	|1,74963
182	|1,740927
183	|1,79937
184	|1,67565
185	|1,716612
186	|1,73161
187	|1,79961
188	|1,73292
189	|1,692208
190	|1,690821
191	|1,666607
192	|1,69994
193	|1,682783
194	|1,670485
195	|1,696423
196	|1,773841
197	|1,724845
198	|1,683385
199	|1,666568
200	|1,699646
201	|1,699999
202	|1,73287
203	|1,674312
204	|1,658758
205	|1,68329
206	|1,749705
207	|1,840405
208	|1,684445
209	|1,723426
210	|1,732643
211	|1,716509
212	|1,650125
213	|1,74092
214	|1,674476
215	|1,708626
216	|1,725004
217	|1,723612
218	|1,675744
219	|1,757681
220	|1,6667
221	|1,649994
222	|1,740943
223	|1,741646
224	|1,716229
225	|1,757538
226	|1,69235
227	|1,701569
228	|1,970281
229	|1,759059
230	|1,641427
231	|1,715472
232	|1,813585
233	|1,71096
234	|1,716289
235	|1,76582
236	|1,716638
237	|1,732818
238	|1,78322
239	|1,64953
240	|1,716761
241	|1,691065
242	|1,774372
243	|1,724612
244	|1,691651
245	|1,716621
246	|1,732521
247	|2,112714
248	|1,975135
249	|1,779975
250	|1,743929
251	|1,765998
252	|1,758556
253	|1,666087
254	|1,707767
255	|1,692216
256	|1,748383
257	|1,666518
258	|1,658926
259	|1,70816
260	|1,748626
261	|1,725327
262	|1,641542
263	|1,683061
264	|1,666909
265	|1,749172
266	|1,716378
267	|2,299806
268	|1,904136
269	|1,725225
270	|1,808086
271	|1,690407
272	|1,724428
273	|1,650887
274	|1,748671
275	|1,732938
276	|1,625945
277	|1,748647
278	|1,725296
279	|1,724094
280	|1,774398
281	|1,650051
282	|1,6915
283	|1,716206
284	|1,683862
285	|1,724196
286	|1,700253
287	|1,632867
288	|2,147511
289	|1,764585
290	|1,677467
291	|1,632633
292	|1,758215
293	|1,732496
294	|1,766497
295	|1,798444
296	|1,651124
297	|1,73209
298	|1,808039
299	|1,674599
300	|1,658109
301	|1,71637
302	|1,774911
303	|1,749019
304	|1,766062
305	|1,758343
306	|1,716026
307	|1,708425
308	|2,138792
309	|1,64205
310	|1,716361
311	|1,700446
312	|1,77335
313	|1,750455
314	|1,624703
315	|1,740501
316	|1,642714
317	|1,723785
318	|1,725135
319	|1,642111
320	|1,665786
321	|1,724655
322	|1,709295
323	|1,665296
324	|1,716652
325	|1,733395
326	|1,723731
327	|1,774731
328	|1,633998
329	|1,732035
330	|1,733635
331	|1,675144
332	|1,707181
333	|1,699725
334	|1,708849
335	|1,699181
336	|1,790732
337	|1,617473
338	|1,641097
339	|1,766083
340	|1,700499
341	|1,76541
342	|1,749568
343	|1,642239
344	|1,707701
345	|1,725108
346	|1,724446
347	|1,715968
348	|2,279553
349	|2,040787
350	|1,741421
351	|1,691121
352	|1,832682
353	|1,73356
354	|1,773988
355	|1,840288
356	|1,691379
357	|1,69221
358	|1,781426
359	|1,741825
360	|1,75779
361	|1,741117
362	|1,782104
363	|1,79176
364	|1,757617
365	|1,758148
366	|1,674586
367	|1,716627
368	|1,741719
369	|1,873912
370	|1,717006
371	|1,715025
372	|1,699816
373	|1,774212
374	|1,725463
375	|1,649729
376	|1,708163
377	|1,741168
378	|1,790554
379	|1,707813
380	|1,676088
381	|1,764977
382	|1,675476
383	|1,732775
384	|1,708163
385	|1,848153
386	|1,76649
387	|1,741118
388	|1,926981
389	|1,87882
390	|1,641802
391	|1,708733
392	|1,682412
393	|1,691919
394	|1,749705
395	|1,707485
396	|1,724838
397	|1,791309
398	|1,65776
399	|1,683339
400	|1,667032
401	|1,748834
402	|1,801818
403	|1,705631
404	|1,675056
405	|1,81612
406	|1,74907
407	|1,716732
408	|2,182667
409	|1,913215
410	|1,749403
411	|1,749701
412	|1,766258
413	|1,77433
414	|1,765913
415	|1,775095
416	|1,765409
417	|1,774935
418	|1,666311
419	|1,813907
420	|1,759493
421	|1,758383
422	|1,732639
423	|1,774835
424	|1,831722
425	|1,684134
426	|1,731998
427	|1,683693
428	|1,666464
429	|1,8985
430	|1,708439
431	|1,683015
432	|1,707952
433	|1,667055
434	|1,740792
435	|1,732833
436	|1,584238
437	|1,74904
438	|1,732888
439	|1,708955
440	|1,649179
441	|1,716304
442	|1,749925
443	|1,732411
444	|1,766097
445	|1,700672
446	|1,748577
447	|1,691674
448	|1,71677
449	|2,163772
450	|1,666987
451	|1,692156
452	|1,715331
453	|1,708095
454	|1,741683
455	|1,682622
456	|1,683096
457	|1,750164
458	|1,699061
459	|1,674898
460	|1,716889
461	|1,748837
462	|1,807688
463	|1,733123
464	|1,691466
465	|1,750357
466	|1,666292
467	|1,715726
468	|1,708907
469	|1,947732
470	|1,732852
471	|1,734193
472	|1,839521
473	|1,633403
474	|1,725497
475	|1,723804
476	|1,749583
477	|1,690707
478	|1,741747
479	|1,782886
480	|1,71766
481	|1,889105
482	|1,741256
483	|1,733608
484	|1,83283
485	|1,707123
486	|1,741822
487	|1,815122
488	|1,716753
489	|2,37183
490	|1,798462
491	|1,775864
492	|1,756001
493	|1,658816
494	|1,733644
495	|1,665851
496	|1,700467
497	|1,666575
498	|1,748879
499	|1,708011
500	|1,700557
501	|1,682513
502	|1,667553
503	|1,682287
504	|1,766087
505	|1,749334
506	|1,691718
507	|1,699693
508	|1,650366
509	|2,279819
510	|1,757892
511	|1,700558
512	|1,76537
513	|1,724656
514	|1,699808
515	|1,757527
516	|1,668162
517	|1,781382
518	|1,740486
519	|1,717705
520	|1,690737
521	|1,699782
522	|1,740952
523	|1,725552
524	|1,790423
525	|1,716197
526	|1,741997
527	|1,757054
528	|1,700438
529	|2,362577
530	|1,683369
531	|1,85258
532	|1,7298
533	|1,748959
534	|1,974764
535	|1,731844
536	|1,74925
537	|1,791472
538	|1,707705
539	|1,741754
540	|1,832367
541	|1,773809
542	|1,833447
543	|1,715708
544	|1,732822
545	|1,799606
546	|1,757565
547	|1,832295
548	|1,794252
549	|1,85491
550	|1,790081
551	|1,692804
552	|1,773046
553	|1,684149
554	|1,74978
555	|1,723603
556	|1,733955
557	|1,714766
558	|1,6756
559	|1,642229
560	|1,723985
561	|1,749293
562	|1,668319
563	|1,673324
564	|1,732673
565	|1,717777
566	|1,682031
567	|1,699678
568	|1,675549
569	|2,122108
570	|1,757518
571	|1,734317
572	|1,715417
573	|1,691483
574	|1,692169
575	|1,673961
576	|1,642756
577	|1,682783
578	|1,724093
579	|1,650546
580	|1,707542
581	|1,608381
582	|1,733232
583	|1,691976
584	|1,773816
585	|1,707919
586	|1,701043
587	|1,715815
588	|1,708351
589	|1,845997
590	|1,62714
591	|1,733754
592	|1,765383
593	|1,774288
594	|1,75816
595	|1,707751
596	|1,741201
597	|1,716902
598	|1,724049
599	|1,69994
600	|1,741818
601	|1,731542
602	|1,766863
603	|1,774102
604	|1,691197
605	|1,666496
606	|1,775255
607	|1,724306
608	|1,798793
609	|1,742547
610	|1,847767
611	|1,716493
612	|1,766707
613	|1,63281
614	|1,651545
615	|1,70609
616	|1,667085
617	|1,799637
618	|1,691592
619	|1,691487
620	|1,732209
621	|1,799775
622	|1,749457
623	|1,67458
624	|1,716305
625	|1,750044
626	|1,732437
627	|1,666613
628	|1,609129
629	|1,683093
630	|2,097294
631	|1,700405
632	|1,699701
633	|1,699089
634	|1,64238
635	|1,765917
636	|1,649579
637	|1,625796
638	|1,724324
639	|1,724332
640	|1,750156
641	|1,72433
642	|1,674744
643	|1,658764
644	|1,707825
645	|1,840392
646	|1,701479
647	|1,682789
648	|1,756641
649	|1,683938
650	|1,765774
651	|1,658328
652	|1,665967
653	|1,791115
654	|1,716701
655	|1,774047
656	|1,765912
657	|1,667266
658	|1,790247
659	|1,733553
660	|1,657929
661	|1,749521
662	|1,724494
663	|1,766454
664	|1,774672
665	|1,773494
666	|1,775107
667	|1,774315
668	|1,740944
669	|1,741377
670	|1,683455
671	|1,740829
672	|1,759213
673	|1,756447
674	|1,724703
675	|1,716966
676	|1,723993
677	|1,708547
678	|1,732333
679	|1,675214
680	|1,708325
681	|1,73249
682	|1,783035
683	|1,782719
684	|1,62481
685	|1,656548
686	|1,701358
687	|1,733006
688	|1,725561
689	|1,632441
690	|1,692196
691	|2,064237
692	|1,749217
693	|1,700311
694	|1,649453
695	|1,725459
696	|1,707961
697	|1,707357
698	|1,674967
699	|1,650474
700	|1,690971
701	|1,749448
702	|1,880397
