GUID	|Time
0	|1,811735
1	|1,8524
2	|1,818119
3	|1,768926
4	|2,146359
5	|1,822875
6	|1,893968
7	|1,719051
8	|1,810866
9	|1,819351
10	|1,752679
11	|1,76916
12	|1,821232
13	|1,859159
14	|2,224704
15	|2,359885
16	|1,786448
17	|1,836788
18	|1,778668
19	|1,745559
20	|2,057467
21	|1,823204
22	|1,87018
23	|1,803713
24	|1,862495
25	|1,804254
26	|1,803769
27	|1,795987
28	|1,753974
29	|1,746103
30	|1,83679
31	|1,76265
32	|1,854119
33	|2,343665
34	|1,796279
35	|1,829018
36	|1,763338
37	|1,853687
38	|1,829679
39	|2,010866
40	|1,823385
41	|1,820617
42	|1,788662
43	|1,730543
44	|1,855168
45	|1,813245
46	|1,805336
47	|1,880635
48	|1,882274
49	|1,769915
50	|1,897472
51	|2,351701
52	|2,15548
53	|1,813578
54	|1,897108
55	|1,863923
56	|1,814468
57	|1,805934
58	|1,822554
59	|1,806885
60	|1,872078
61	|1,81466
62	|1,814584
63	|1,772903
64	|1,798112
65	|1,764683
66	|1,8566
67	|1,772635
68	|1,797928
69	|1,847298
70	|1,953056
71	|2,415134
72	|1,780938
73	|1,814501
74	|1,822794
75	|1,872739
76	|1,831198
77	|1,855979
78	|1,814907
79	|1,83077
80	|1,797982
81	|1,748266
82	|1,806672
83	|1,814191
84	|1,839526
85	|1,847625
86	|1,84795
87	|1,880989
88	|1,930476
89	|1,889319
90	|1,855887
91	|1,856123
92	|1,905589
93	|1,92274
94	|1,839393
95	|1,848031
96	|1,822653
97	|1,739882
98	|1,880807
99	|1,748293
100	|1,815061
101	|1,889152
102	|1,830708
103	|1,748225
104	|1,839508
105	|1,847912
106	|1,897348
107	|1,864354
108	|1,773734
109	|1,855414
110	|1,847811
111	|1,831265
112	|1,873161
113	|1,739305
114	|1,914391
115	|1,813829
116	|1,790451
117	|1,872597
118	|1,847668
119	|1,847863
120	|1,88913
121	|1,772823
122	|1,798375
123	|1,847683
124	|1,698888
125	|1,806087
126	|1,788886
127	|1,898071
128	|2,005233
129	|1,789919
130	|1,773064
131	|1,930601
132	|1,864414
133	|1,914456
134	|1,789337
135	|1,839503
136	|1,790049
137	|1,938033
138	|1,757241
139	|1,756622
140	|1,805946
141	|1,798147
142	|1,872431
143	|1,75663
144	|1,83194
145	|1,797775
146	|2,124059
147	|2,052058
148	|1,83922
149	|1,831132
150	|1,8601
151	|1,710991
152	|1,756903
153	|1,706458
154	|1,822852
155	|1,781322
156	|1,706822
157	|1,781446
158	|1,82282
159	|1,764624
160	|1,88939
161	|1,828396
162	|1,800776
163	|1,814466
164	|1,807154
165	|1,714454
166	|2,253728
167	|1,75649
168	|1,864487
169	|1,814907
170	|1,739399
171	|1,822958
172	|1,897397
173	|1,96384
174	|1,905758
175	|1,832304
176	|1,846798
177	|1,847561
178	|1,781268
179	|1,914289
180	|1,781422
181	|1,889298
182	|1,756239
183	|1,74936
184	|1,796889
185	|2,245984
186	|1,823113
187	|1,84751
188	|1,880807
189	|1,814464
190	|1,847785
191	|1,847824
192	|1,864707
193	|1,722938
194	|1,814957
195	|1,797617
196	|1,748011
197	|1,739964
198	|1,831637
199	|1,814291
200	|1,847673
201	|1,830983
202	|1,872607
203	|1,914403
204	|2,428504
